txn_id,date,category,amount
X00001,2025-08-20,B,112.96
X00002,2025-08-12,A,88.76
X00003,2025-08-17,A,58.66
X00004,2025-08-15,D,36.12
X00005,2025-09-03,A,44.88
X00006,2025-08-16,B,126.35
X00007,2025-08-04,A,52.64
X00008,2025-08-08,B,49.86
X00009,2025-09-03,C,34.1
X00010,2025-08-25,A,21.17
X00011,2025-08-15,B,50.4
X00012,2025-08-28,D,64.25
X00013,2025-08-09,C,94.61
X00014,2025-08-02,C,
X00015,2025-08-17,B,31.11
X00016,2025-08-10,A,40.84
X00017,2025-08-09,B,54.5
X00018,2025-08-31,C,50.78
X00019,2025-08-02,A,51.38
X00020,2025-08-24,A,66.96
X00021,2025-08-19,A,
X00022,2025-08-17,B,87.1
X00023,2025-08-10,C,67.81
X00024,2025-08-28,A,46.53
X00025,2025-09-07,B,121.57
X00026,2025-08-28,D,118.89
X00027,2025-08-01,A,
X00028,2025-08-03,B,12.07
X00029,2025-08-15,D,120.24
X00030,2025-08-10,D,81.24
X00031,2025-08-21,A,148.89
X00032,2025-09-06,A,101.37
X00033,2025-08-15,A,120.2
X00034,2025-08-23,C,84.72
X00035,2025-08-14,C,107.16
X00036,2025-08-15,B,147.98
X00037,2025-08-10,A,60.84
X00038,2025-08-09,A,24.88
X00039,2025-09-08,B,46.82
X00040,2025-08-05,B,66.35
X00041,2025-08-25,C,56.68
X00042,2025-08-26,B,29.27
X00043,2025-08-08,A,24.15
X00044,2025-08-22,A,37.69
X00045,2025-08-25,A,81.77
X00046,2025-08-12,A,120.32
X00047,2025-08-09,A,86.34
X00048,2025-08-10,A,92.64
X00049,2025-08-10,A,52.44
X00050,2025-08-09,A,22.85
X00051,2025-08-26,C,43.48
X00052,2025-09-04,A,47.97
X00053,2025-08-27,B,42.58
X00054,2025-08-31,C,56.11
X00055,2025-08-19,B,68.08
X00056,2025-09-07,D,83.64
X00057,2025-08-06,A,47.51
X00058,2025-08-15,C,21.08
X00059,2025-08-29,D,42.89
X00060,2025-08-05,C,55.8
X00061,2025-08-14,A,100.63
X00062,2025-08-02,A,41.1
X00063,2025-08-23,A,70.55
X00064,2025-08-19,B,63.12
X00065,2025-08-24,C,55.81
X00066,2025-08-20,A,86.94
X00067,2025-08-27,B,39.24
X00068,2025-08-24,B,40.95
X00069,2025-08-17,B,54.27
X00070,2025-08-25,C,39.64
X00071,2025-08-31,C,70.39
X00072,2025-08-28,A,38.22
X00073,2025-08-28,B,61.14
X00074,2025-08-22,A,197.98472809647933
X00075,2025-08-05,B,60.79
X00076,2025-08-08,D,43.39
X00077,2025-09-07,C,46.08
X00078,2025-08-28,B,57.28
X00079,2025-08-12,A,60.4
X00080,2025-08-25,A,54.48
X00081,2025-09-07,B,128.08
X00082,2025-08-15,A,33.27
X00083,2025-09-03,B,52.87
X00084,2025-08-13,A,24.86
X00085,2025-08-08,A,65.76
X00086,2025-08-13,A,31.26
X00087,2025-09-05,D,47.51
X00088,2025-08-06,C,45.33
X00089,2025-09-07,A,62.83
X00090,2025-09-01,A,41.41
X00091,2025-08-21,B,40.54
X00092,2025-08-07,A,
X00093,2025-08-26,B,62.95
X00094,2025-08-15,C,41.24
X00095,2025-08-23,B,48.16
X00096,2025-09-07,B,124.3
X00097,2025-08-15,B,48.54
X00098,2025-09-09,D,38.68
X00099,2025-08-16,D,38.76
X00100,2025-09-01,B,41.49
X00101,2025-09-06,A,40.56
X00102,2025-08-18,B,28.79
X00103,2025-08-20,A,31.12
X00104,2025-08-02,B,
X00105,2025-08-23,B,73.39
X00106,2025-08-30,A,45.12
X00107,2025-08-03,A,49.23
X00108,2025-09-08,B,103.03
X00109,2025-08-01,C,104.32
X00110,2025-08-22,B,47.41
X00111,2025-08-29,B,39.83
X00112,2025-08-14,A,35.44
X00113,2025-08-28,B,77.2
X00114,2025-08-21,B,49.29
X00115,2025-09-01,B,45.0
X00116,2025-08-06,A,36.35
X00117,2025-08-01,B,37.16
X00118,2025-08-21,A,64.07
X00119,2025-08-04,A,28.28
X00120,2025-08-03,D,89.79
X00121,2025-08-30,A,41.81
X00122,2025-08-31,A,50.66
X00123,2025-09-03,B,27.98
X00124,2025-08-19,C,54.26
X00125,2025-08-20,B,46.33
X00126,2025-08-23,C,-79.45899125437404
X00127,2025-09-09,C,113.96
X00128,2025-08-25,A,
X00129,2025-08-15,A,36.7
X00130,2025-09-07,A,38.26
X00131,2025-08-23,C,73.52
X00132,2025-08-02,A,104.52
X00133,2025-08-15,A,62.86
X00134,2025-09-04,B,77.04
X00135,2025-08-10,B,74.06
X00136,2025-08-14,B,111.0
X00137,2025-08-27,B,20.6
X00138,2025-08-14,A,76.22
X00139,2025-09-04,B,89.29
X00140,2025-09-02,B,27.96
X00141,2025-08-01,D,35.06
X00142,2025-09-03,A,35.68
X00143,2025-08-19,C,37.92
X00144,2025-08-24,B,42.91
X00145,2025-08-04,A,61.64
X00146,2025-09-05,C,84.17
X00147,2025-08-13,A,93.75
X00148,2025-09-01,D,
X00149,2025-08-09,C,35.79
