date,quality_A,quality_B,speed_A,speed_B,stable_A,stable_B,usability_A,usability_B,cost_A,cost_B
2025-10-01,91.3,75.2,84.7,81.4,84.9,78.0,84.4,77.6,52.0,49.2
2025-10-02,89.5,53.7,85.5,69.3,83.2,80.2,78.9,75.2,55.6,61.4
2025-10-03,77.6,79.0,90.6,82.6,79.1,83.7,80.3,64.2,73.7,59.9
2025-10-04,76.3,66.3,,80.7,85.7,83.6,81.3,,59.6,50.5
2025-10-05,70.7,79.1,77.1,70.7,83.7,84.1,82.7,78.7,61.6,45.1
2025-10-06,81.0,75.8,88.6,,89.3,108.11994908492372,68.4,64.7,,62.7
2025-10-07,80.7,66.1,67.8,81.7,,82.0,92.3,88.2,64.2,49.5
2025-10-08,69.2,69.3,71.8,85.2,82.2,81.1,79.2,80.3,67.5,59.1
2025-10-09,80.8,69.8,75.7,65.6,77.7,90.7,82.8,61.8,67.2,61.7
2025-10-10,83.1,84.5,94.3,82.5,78.9,83.7,70.9,80.7,,67.7
2025-10-11,66.0,59.7,73.2,87.9,85.4,73.9,75.5,80.5,70.0,79.2
2025-10-12,76.5,66.1,87.6,91.2,73.4,67.8,80.0,84.9,50.0,109.43472962412876
2025-10-13,74.5,55.8,79.8,69.4,82.8,77.6,62.6,70.6,59.7,53.7
2025-10-14,75.0,71.1,,77.0,82.2,82.7,69.8,80.8,43.8,74.6
2025-10-15,67.4,64.4,99.6,,75.7,84.8,71.2,73.3,58.2,68.5
2025-10-16,60.4,65.5,81.4,82.7,82.9,71.5,66.8,71.1,50.0,59.7
2025-10-17,69.0,83.4,82.6,76.8,77.4,83.4,77.8,68.9,55.5,60.4
2025-10-18,,62.6,83.7,73.0,95.2,85.8,76.4,61.7,60.6,58.3
2025-10-19,77.8,68.6,83.2,79.5,89.2,82.7,88.4,78.8,68.3,59.6
2025-10-20,78.0,65.9,95.1,75.6,82.4,81.5,68.0,73.1,67.9,57.0
2025-10-21,77.5,66.4,92.5,81.9,55.232751252549185,78.2,78.9,55.9,36.6,48.3
2025-10-22,63.8,94.9,73.5,72.3,85.0,76.2,70.0,75.5,66.8,58.1
2025-10-23,66.0,54.4,94.1,41.385366852516356,86.6,83.7,63.3,,62.1,75.6
2025-10-24,,75.8,75.1,87.2,83.5,82.5,81.7,65.9,54.4,49.8
2025-10-25,75.2,91.8,82.3,93.9,75.9,77.0,82.4,70.0,51.2,55.3
2025-10-26,72.3,79.7,69.8,90.8,80.7,94.3,81.4,78.1,59.4,49.1
2025-10-27,77.5,70.4,87.3,77.5,82.5,69.9,66.5,57.1,62.3,69.6
2025-10-28,82.8,59.4,77.8,85.4,83.7,77.6,77.7,,63.8,66.3
2025-10-29,67.0,,72.0,73.2,83.9,74.4,81.8,77.4,58.0,45.2
2025-10-30,67.3,78.4,88.3,81.6,86.4,81.3,84.6,71.1,34.8,37.8
2025-10-31,76.1,56.2,90.1,73.9,90.1,67.3,82.0,65.9,55.0,66.7
2025-11-01,74.3,67.1,90.3,86.8,88.1,,84.7,66.2,48.2,44.6
2025-11-02,80.9,59.1,69.3,85.9,85.5,85.0,85.5,63.7,80.6,66.3
2025-11-03,75.1,44.3,91.0,92.5,74.5,80.6,77.8,70.6,60.6,51.6
2025-11-04,88.9,58.9,77.9,76.4,89.1,77.1,81.0,82.4,67.4,64.9
2025-11-05,62.3,70.9,94.4,89.1,86.9,83.3,85.0,91.5,66.4,62.4
2025-11-06,81.7,75.2,84.4,,80.5,81.0,80.1,75.3,63.1,52.6
2025-11-07,76.6,,81.8,78.5,82.2,84.7,86.6,80.4,55.8,49.2
2025-11-08,63.8,82.4,80.1,80.4,82.4,78.3,84.0,68.4,,63.8
2025-11-09,58.5,79.3,,89.9,79.4,77.9,,60.4,39.8,51.1
2025-11-10,66.0,68.9,75.2,77.1,71.5,85.5,66.6,88.0,61.4,69.1
2025-11-11,84.7,67.7,72.5,77.4,,,77.2,70.8,63.0,
2025-11-12,83.8,73.4,77.5,63.5,76.6,78.0,67.6,80.0,59.5,61.5
2025-11-13,74.0,69.8,88.3,77.0,70.2,81.2,77.7,76.1,61.4,54.1
2025-11-14,72.1,57.2,70.2,79.9,75.3,80.1,76.9,82.0,47.9,58.1
2025-11-15,68.2,67.3,89.4,72.7,88.8,81.8,,81.7,57.1,51.0
2025-11-16,73.5,76.0,81.0,70.9,84.9,86.6,81.0,76.9,53.5,56.2
2025-11-17,71.2,81.8,85.5,65.0,76.2,76.9,84.8,77.7,66.7,32.4
2025-11-18,88.7,78.6,85.8,73.9,77.9,75.1,73.1,83.5,60.4,49.9
2025-11-19,65.1,73.0,86.5,87.9,89.4,80.6,89.2,72.1,53.6,52.1
2025-11-20,78.1,83.1,80.2,67.6,89.2,75.8,84.1,85.9,58.4,57.3
2025-11-21,89.1,73.8,80.4,83.5,82.4,73.5,,70.0,49.6,70.9
2025-11-22,81.2,69.2,86.3,84.2,89.0,85.0,62.5,75.5,56.7,51.0
2025-11-23,66.0,83.3,72.7,95.2,77.4,77.3,86.4,,65.8,72.1
2025-11-24,62.7,76.5,71.6,85.3,83.4,67.8,91.2,63.6,46.7,49.4
2025-11-25,77.2,81.7,76.7,84.7,73.2,84.1,77.1,84.7,59.4,46.9
2025-11-26,76.2,59.3,82.0,80.6,79.8,76.4,77.3,78.3,52.5,39.2
2025-11-27,84.9,62.3,,,82.2,82.5,72.9,,46.7,64.1
2025-11-28,79.4,,80.3,84.0,71.9,85.5,63.9,89.6,78.7,58.9
2025-11-29,71.1,71.6,94.0,86.7,85.6,80.1,72.5,74.9,72.5,63.5
2025-11-30,70.6,86.4,83.6,79.2,86.6,,90.3,87.5,54.0,
2025-12-01,64.6,59.7,76.8,87.0,88.1,67.2,85.6,80.9,57.1,57.9
2025-12-02,76.0,78.1,88.0,98.2,96.0,75.0,70.8,76.6,39.8,60.8
2025-12-03,,59.2,78.3,78.5,84.5,78.7,72.4,63.4,44.1,79.5
2025-12-04,,89.1,81.8,78.7,81.6,86.2,94.1,65.0,48.7,53.3
2025-12-05,79.7,55.6,70.6,77.4,72.4,80.7,68.8,75.0,,78.5
2025-12-06,79.5,76.7,69.4,78.9,84.4,94.7,71.3,71.5,58.9,66.5
2025-12-07,64.4,77.9,83.9,86.6,85.4,70.1,73.6,76.6,63.3,61.7
2025-12-08,73.8,75.6,87.7,78.6,73.9,79.7,66.1,84.6,66.8,63.5
