x,a,b,c,group
Item_1,47.9,41.7,33.1,G1
Item_2,64.4,44.5,29.9,G1
Item_3,45.5,27.6,46.8,G2
Item_4,55.8,,27.9,G1
Item_5,58.4,38.0,3.6,G1
Item_6,46.3,,13.7,G2
Item_7,58.2,54.5,20.4,G1
Item_8,55.5,47.4,57.1,G1
Item_9,,39.1,29.7,G2
Item_10,37.6,59.4,38.9,G1
Item_11,65.3,39.6,38.1,G2
Item_12,55.4,40.9,19.9,G2
Item_13,48.6,38.4,15.7,G1
Item_14,48.9,27.7,35.1,G2
Item_15,49.5,91.63327607194057,12.2,G1
Item_16,40.1,34.5,37.8,G1
Item_17,64.3,29.9,,G2
Item_18,61.6,37.2,34.9,G1
Item_19,62.4,48.3,32.4,G1
Item_20,68.2,35.9,32.9,G1
Item_21,52.3,42.2,30.8,G1
Item_22,30.1,34.9,32.3,G1
Item_23,57.5,65.5,30.4,G1
Item_24,57.1,55.1,19.0,G1
Item_25,68.6,37.5,26.8,G2
Item_26,63.0,42.7,47.4,G1
Item_27,51.6,26.6,32.5,G2
Item_28,48.3,37.9,39.1,G2
Item_29,62.0,34.0,22.1,G1
Item_30,18.1,47.4,22.0,G2
Item_31,52.9,30.7,20.4,G2
Item_32,61.3,56.6,,G2
Item_33,48.5,39.3,17.0,G1
Item_34,45.4,,31.9,G2
Item_35,,40.3,27.2,G2
Item_36,66.2,47.4,37.0,G2
Item_37,55.4,45.2,27.5,G2
Item_38,41.9,41.6,10.8,G2
Item_39,64.6,48.8,33.5,G2
Item_40,66.9,48.2,13.8,G1
Item_41,40.3,48.2,31.7,G2
Item_42,83.6,37.2,23.8,G2
Item_43,50.0,37.2,31.9,G1
Item_44,61.4,37.9,18.5,G1
Item_45,58.7,35.1,36.2,G2
Item_46,41.6,41.1,30.3,G2
Item_47,44.6,39.9,27.2,G1
Item_48,50.8,56.6,16.4,G2
Item_49,,35.0,44.5,G2
Item_50,59.9,30.1,22.7,G1
Item_51,27.3,46.5,32.1,G2
Item_52,50.2,40.7,22.4,G1
Item_53,41.9,33.1,60.2,G2
Item_54,56.9,47.8,31.2,G2
Item_55,23.5,37.2,25.1,G1
Item_56,30.1,55.2,34.8,G1
Item_57,42.8,30.5,,G2
Item_58,56.2,34.2,33.2,G2
Item_59,52.7,41.3,27.4,G2
Item_60,-13.539302648468656,53.6,,G1
Item_61,51.3,32.9,28.8,G1
Item_62,49.8,43.8,29.8,G1
Item_63,37.1,28.4,23.7,G1
Item_64,47.3,49.2,18.3,G1
Item_65,49.8,33.5,34.5,G1
Item_66,25.3,46.2,34.9,G2
Item_67,39.3,46.7,40.4,G1
Item_68,55.6,21.8,30.4,G1
Item_69,52.2,42.1,74.57177634576362,G1
Item_70,47.0,34.9,18.7,G1
Item_71,42.7,45.0,29.7,G2
Item_72,29.1,31.3,32.9,G1
Item_73,23.9,34.2,15.4,G2
